HEADER_START
VERSION:1.0,DATE:2014-10-28,ID:101,WEIGHT:0
FIELDS:TIME_STAMP,STATE_MACHINE,REWARD,CAP_SENSOR_SIPPER,CAP_SENSOR_HANDLE,POS_X,POS_Y,POS_Z,FOR_X,FOR_Y,FOR_Z
HEADER_END
0,0,0,0,0,0,0,0,0,0,0
1478,0,0,0,0,-0.0131537,0.0213836,-0.000502351,0,0,0
1484,0,0,0,0,-0.0131894,0.0213449,-0.000375154,4.21873,-6.29717,-0.586502
1485,0,0,0,0,-0.0131831,0.0213072,-0.000335044,4.21735,-6.23162,-0.678385
1486,0,0,0,0,-0.0131678,0.0212791,-0.000326711,4.16791,-6.20613,-0.615369
1487,0,0,0,0,-0.0131683,0.0212162,-0.0003101,4.16347,-6.09402,-0.588331
1488,0,0,0,0,-0.0131689,0.0211532,-0.00029349,4.15893,-5.98223,-0.560441
1489,0,0,0,0,-0.0131605,0.0211,-0.000308649,4.15153,-5.87366,-0.522772
1490,0,0,0,0,-0.0131459,0.0210089,-0.000283694,4.12642,-5.72897,-0.539427
1491,0,0,0,0,-0.0131375,0.0209557,-0.000298846,4.10257,-5.64647,-0.440721
1492,0,0,0,0,-0.013114,0.0208742,-0.000305655,4.04382,-5.49925,-0.361087
1493,0,0,0,0,-0.0130996,0.0207831,-0.000280683,4.00592,-5.33022,-0.354417
1494,0,0,0,0,-0.0130611,0.0206734,-0.000279131,3.9123,-5.11613,-0.294559
1495,0,0,0,0,-0.0130378,0.0205919,-0.000285923,3.87181,-4.95012,-0.278349
1496,0,0,0,0,-0.0130214,0.0204852,-0.000316201,3.82949,-4.74514,-0.144592
1497,0,0,0,0,-0.0129982,0.0204036,-0.000322986,3.77086,-4.59527,-0.0652172
1498,0,0,0,0,-0.012969,0.0202841,-0.000289615,3.66809,-4.21202,-0.0900195
1499,0,0,0,0,-0.0129309,0.0201741,-0.000288025,3.62442,-4.129,-0.081307
1500,0,0,0,0,-0.0129079,0.0200923,-0.000294791,3.58991,-3.92135,0.0268576
1501,0,0,0,0,-0.0128699,0.0199822,-0.000293188,3.55255,-3.85775,0.0280288
1502,0,0,0,0,-0.012832,0.019872,-0.000291576,3.42939,-3.69855,0.0908471
1503,0,0,0,0,-0.0128012,0.0197367,-0.000313451,3.38457,-3.49971,0.112106
1504,0,0,0,0,-0.0127635,0.0196264,-0.000311823,3.36143,-3.45854,0.107994
1505,0,0,0,0,-0.0127259,0.0195159,-0.000310187,3.27538,-3.30967,0.125747
1506,0,0,0,0,-0.0126883,0.0194055,-0.000308542,3.24555,-3.22985,0.107467
1507,0,0,0,0,-0.012636,0.0192664,-0.000298499,3.19849,-3.13871,0.0842423
1508,0,0,0,0,-0.0126078,0.0191462,-0.000264971,3.19102,-3.07703,0.0585208
1509,0,0,0,0,-0.0125705,0.0190354,-0.000263288,3.16114,-2.99563,0.0401043
1510,0,0,0,0,-0.0125185,0.018896,-0.000253192,3.08454,-2.91142,-0.0487025
1511,0,0,0,0,-0.0124666,0.0187565,-0.000243077,3.01923,-2.76136,-0.0877167
1512,0,0,0,0,-0.0124389,0.018636,-0.000209472,3.02843,-2.74801,-0.0977778
1513,0,0,0,0,-0.0123872,0.0184962,-0.000199316,2.99718,-2.66297,-0.118788
1514,0,0,0,0,-0.0123597,0.0183755,-0.000165675,2.98852,-2.55197,-0.215583
1515,0,0,0,0,-0.012301,0.0182605,-0.000131939,2.93718,-2.52041,-0.294701
1516,0,0,0,0,-0.012259,0.0181109,-8.98115e-005,2.92563,-2.40123,-0.394852
1517,0,0,0,0,-0.0122099,0.0179862,-2.40993e-005,2.90661,-2.38414,-0.517184
1518,0,0,0,0,-0.0121828,0.0178651,9.62744e-006,2.91852,-2.39563,-0.63836
1519,0,0,0,0,-0.0121245,0.0177497,4.35005e-005,2.86218,-2.33967,-0.7598
1520,0,0,0,0,-0.0120757,0.0176246,0.000109327,2.8358,-2.28953,-0.916893
1521,0,0,0,0,-0.012027,0.0174994,0.000175198,2.84281,-2.30432,-1.055
1522,0,0,0,0,-0.0119859,0.0173491,0.000217514,2.81447,-2.21069,-1.08708
1523,0,0,0,0,-0.0119375,0.0172236,0.000283466,2.80025,-2.18563,-1.17301
1524,0,0,0,0,-0.0118892,0.017098,0.000349463,2.78988,-2.1577,-1.38776
1525,0,0,0,0,-0.0118411,0.0169724,0.000415506,2.77735,-2.13242,-1.45751
1526,0,0,0,0,-0.011793,0.0168465,0.000481594,2.74858,-2.13277,-1.61857
1527,0,0,0,0,-0.0117452,0.0167206,0.000547727,2.73951,-2.10728,-1.67577
1528,0,0,0,0,-0.0116878,0.0166039,0.000581975,2.7215,-2.13292,-1.73596
1529,0,0,0,0,-0.0116401,0.0164777,0.000648196,2.67978,-2.10401,-1.82039
1530,0,0,0,0,-0.0115926,0.0163514,0.000714463,2.70192,-2.06565,-1.90358
1531,0,0,0,0,-0.0115453,0.0162249,0.000780774,2.68975,-2.09396,-1.97105
1532,0,0,0,0,-0.011498,0.0160984,0.00084713,2.69088,-2.06805,-1.99323
1533,0,0,0,0,-0.0114411,0.015981,0.000881586,2.64654,-2.03962,-2.05551
1534,0,0,0,0,-0.0113942,0.0158542,0.00094803,2.65346,-2.02836,-2.07074
1537,0,0,0,0,-0.0112342,0.0154917,0.00108371,2.58416,-2.01443,-2.06428
1538,0,0,0,0,-0.0111877,0.0153643,0.00115032,2.59083,-2.00158,-2.08031
1539,0,0,0,0,-0.0111455,0.0152757,0.00117634,2.59737,-2.05442,-2.01379
1540,0,0,0,0,-0.0110893,0.0151575,0.00121105,2.57867,-2.05708,-1.95909
1541,0,0,0,0,-0.0110471,0.0150688,0.00123711,2.58505,-2.11057,-1.89191
1542,0,0,0,0,-0.0109911,0.0149503,0.00127188,2.56632,-2.11337,-1.83728
1543,0,0,0,0,-0.0109491,0.0148614,0.00129798,2.59584,-2.15786,-1.82976
1544,0,0,0,0,-0.0108931,0.0147427,0.00133281,2.56903,-2.17621,-1.73399
1545,0,0,0,0,-0.0108373,0.0146238,0.00136768,2.55053,-2.14541,-1.72794
1546,0,0,0,0,-0.0107955,0.0145346,0.00139385,2.56207,-2.25553,-1.5959
1547,0,0,0,0,-0.0107297,0.0144248,0.00139673,2.5317,-2.24786,-1.53256
1548,0,0,0,0,-0.010688,0.0143354,0.00142294,2.53091,-2.29337,-1.46277
1549,0,0,0,0,-0.0106324,0.0142161,0.00145792,2.51271,-2.24591,-1.47812
1550,0,0,0,0,-0.0105908,0.0141265,0.00148417,2.54128,-2.2897,-1.47076
1551,0,0,0,0,-0.0105493,0.0140369,0.00151044,2.55607,-2.36537,-1.39535
1552,0,0,0,0,-0.0105078,0.0139471,0.00153674,2.58,-2.46094,-1.31005
1553,0,0,0,0,-0.0104423,0.0138367,0.00153972,2.53634,-2.42171,-1.26359
1554,0,0,0,0,-0.010401,0.0137467,0.00156605,2.55333,-2.44722,-1.25333
1555,0,0,0,0,-0.0103596,0.0136567,0.0015924,2.55041,-2.42601,-1.26476
1556,0,0,0,0,-0.0103183,0.0135667,0.00161877,2.58681,-2.48732,-1.25279
1557,0,0,0,0,-0.0102633,0.0134465,0.00165396,2.55438,-2.40099,-1.28362
1558,0,0,0,0,-0.0102222,0.0133562,0.00168037,2.5835,-2.44748,-1.27538
1559,0,0,0,0,-0.0101811,0.0132659,0.0017068,2.61102,-2.49089,-1.26792
1560,0,0,0,0,-0.01014,0.0131755,0.00173325,2.60324,-2.45944,-1.28192
1561,0,0,0,0,-0.0100935,0.0130297,0.00174458,2.59794,-2.32683,-1.26224
1562,0,0,0,0,-0.0100526,0.0129392,0.00177106,2.64385,-2.34732,-1.32025
1563,0,0,0,0,-0.0100117,0.0128485,0.00179757,2.64749,-2.33964,-1.32828
1564,0,0,0,0,-0.00997089,0.0127578,0.00182409,2.67262,-2.37331,-1.31537
1565,0,0,0,0,-0.00993012,0.0126669,0.00185064,2.67185,-2.35594,-1.32585
1566,0,0,0,0,-0.00988941,0.012576,0.0018772,2.67018,-2.33649,-1.33683
1567,0,0,0,0,-0.00984874,0.0124851,0.00190378,2.6734,-2.3324,-1.35204
1568,0,0,0,0,-0.00980814,0.012394,0.00193038,2.72516,-2.35739,-1.4047
1569,0,0,0,0,-0.00977805,0.0122937,0.0019892,2.75071,-2.31939,-1.49307
1570,0,0,0,0,-0.00973757,0.0122025,0.00201585,2.74467,-2.28924,-1.50734
1571,0,0,0,0,-0.00969714,0.0121112,0.00204251,2.74085,-2.27813,-1.51636
1572,0,0,0,0,-0.00965676,0.0120199,0.00206919,2.76574,-2.3161,-1.5107
1573,0,0,0,0,-0.00962988,0.0119589,0.00208699,2.79457,-2.36532,-1.50179
1574,0,0,0,0,-0.00958123,0.0118925,0.00213777,2.77559,-2.40804,-1.56726
1575,0,0,0,0,-0.00954098,0.011801,0.00216451,2.77541,-2.39169,-1.57752
1576,0,0,0,0,-0.00950079,0.0117093,0.00219127,2.78753,-2.48898,-1.61717
1577,0,0,0,0,-0.00947403,0.0116482,0.00220912,2.81844,-2.54375,-1.6066
1578,0,0,0,0,-0.00944454,0.0115473,0.00226815,2.84098,-2.50251,-1.69238
1579,0,0,0,0,-0.00940451,0.0114555,0.00229497,2.85046,-2.50211,-1.71029
1580,0,0,0,0,-0.00937786,0.0113942,0.00231285,2.88171,-2.55805,-1.69959
1581,0,0,0,0,-0.00933792,0.0113022,0.0023397,2.88071,-2.53987,-1.71046
1582,0,0,0,0,-0.00929804,0.0112102,0.00236656,2.87261,-2.50514,-1.72743
1583,0,0,0,0,-0.00925822,0.0111181,0.00239345,2.86349,-2.47435,-1.72899
1584,0,0,0,0,-0.0092317,0.0110566,0.00241138,2.87067,-2.54219,-1.65566
